chr	rho	r_cM	lenCorCor	lenClosest	lenMean	DFE_all	DFE_noCpG	genus	pop	species	Ne	Island	
12	0.007628523	4.377755	21037236	21938106	20957467	0.171794	0.119444	Ficedula	FicAlbIta	FicAlb	228009.6	No	
13	0.00796059	4.223173	19315571	18641552	17755544	0.169816	0.110117	Ficedula	FicAlbIta	FicAlb	228009.6	No	
14	0.009030785	5.010265	16611975	17374186	16464737	0.182755	0.136127	Ficedula	FicAlbIta	FicAlb	228009.6	No	
15	0.013582697	8.445695	14276578	14943019	14141293	0.171267	0.10414	Ficedula	FicAlbIta	FicAlb	228009.6	No	
17	0.010983337	5.843687	10972141	12378331	11265327	0.170868	0.098356	Ficedula	FicAlbIta	FicAlb	228009.6	No	
18	0.010723257	5.453749	12580095	13163162	11916102	0.183448	0.102909	Ficedula	FicAlbIta	FicAlb	228009.6	No	
19	0.0117709	6.527249	11197607	11933672	10999405	0.111818	0.066363	Ficedula	FicAlbIta	FicAlb	228009.6	No	
20	0.010401965	5.843016	15059066	15675940	15012468	0.177231	0.123763	Ficedula	FicAlbIta	FicAlb	228009.6	No	
21	0.009352103	5.421236	6847934	8073070	7075184	0.178817	0.115406	Ficedula	FicAlbIta	FicAlb	228009.6	No	
22	0.018651533	9.73451	4876366	5733621	4289794	0.104639	0.058091	Ficedula	FicAlbIta	FicAlb	228009.6	No	
23	0.015108233	11.534342	7530976	7944683	6815602	0.174047	0.089456	Ficedula	FicAlbIta	FicAlb	228009.6	No	
24	0.017591733	9.597122	6833524	8009359	7240039	0.110162	0.067101	Ficedula	FicAlbIta	FicAlb	228009.6	No	
26	0.015473967	6.923677	6657878	7653694	6301098	0.167216	0.095837	Ficedula	FicAlbIta	FicAlb	228009.6	No	
27	0.01123182	5.517907	4857840	5572044	4685442	0.174849	0.085171	Ficedula	FicAlbIta	FicAlb	228009.6	No	
28	0.015964583	8.610583	5284033	6182350	5221503	0.121206	0.101764	Ficedula	FicAlbIta	FicAlb	228009.6	No	
1	0.004657267	2.738938	117954051	120002344	116424203	0.322855	0.234264	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
1A	0.004220837	2.693167	73732264	74947036	72685834	0.227569	0.165015	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
2	0.004400537	2.813486	154331614	157563209	153125909	0.296095	0.219615	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
3	0.004693155	2.719641	114561924	115844353	112793376	0.307273	0.231013	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
4	0.004152717	2.459158	72976050	70439523	70015997	0.312918	0.21123	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
4A	0.007904417	5.151427	20451253	21182716	20223624	0.167319	0.106853	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
5	0.004403737	2.336388	59626954	64724594	61694345	0.314195	0.231	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
6	0.005472718	3.338395	36514087	37227452	35613976	0.335297	0.226563	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
7	0.005517095	3.357229	39246143	39412007	38569009	0.22102	0.159198	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
8	0.007441223	4.450898	31775369	32100816	30597724	0.338228	0.233747	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
9	0.005318782	3.306046	25648982	26793321	25794245	0.262389	0.155941	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
10	0.006711985	4.498846	20525061	21346708	20492001	0.194716	0.191348	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
11	0.006358335	3.694092	20924582	21727166	20820935	0.219332	0.108695	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
12	0.007628523	4.377755	21037236	21938106	20957467	0.165196	0.111526	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
13	0.00796059	4.223173	19315571	18641552	17755544	0.196643	0.104758	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
14	0.009030785	5.010265	16611975	17374186	16464737	0.21197	0.145411	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
15	0.013582697	8.445695	14276578	14943019	14141293	0.270465	0.117432	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
17	0.010983337	5.843687	10972141	12378331	11265327	0.227707	0.16776	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
18	0.010723257	5.453749	12580095	13163162	11916102	0.220194	0.141432	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
19	0.0117709	6.527249	11197607	11933672	10999405	0.166631	0.090998	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
20	0.010401965	5.843016	15059066	15675940	15012468	0.21326	0.122052	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
21	0.009352103	5.421236	6847934	8073070	7075184	0.169263	0.089765	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
22	0.018651533	9.73451	4876366	5733621	4289794	0.198204	0.089213	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
23	0.015108233	11.534342	7530976	7944683	6815602	0.158241	0.088326	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
24	0.017591733	9.597122	6833524	8009359	7240039	0.188301	0.117206	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
26	0.015473967	6.923677	6657878	7653694	6301098	0.187045	0.114098	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
27	0.01123182	5.517907	4857840	5572044	4685442	0.161318	0.095287	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
28	0.015964583	8.610583	5284033	6182350	5221503	0.180025	0.093846	Ficedula	FicAlbCzkHun	FicAlb	228065.6	No	
1	0.004657267	2.738938	117954051	120002344	116424203	0.316055	0.118623	Ficedula	FicHypAll	FicHyp	155524.64	No	
1A	0.004220837	2.693167	73732264	74947036	72685834	0.311379	0.11092	Ficedula	FicHypAll	FicHyp	155524.64	No	
2	0.004400537	2.813486	154331614	157563209	153125909	0.291256	0.217527	Ficedula	FicHypAll	FicHyp	155524.64	No	
3	0.004693155	2.719641	114561924	115844353	112793376	0.293263	0.130011	Ficedula	FicHypAll	FicHyp	155524.64	No	
4	0.004152717	2.459158	72976050	70439523	70015997	0.309382	0.124632	Ficedula	FicHypAll	FicHyp	155524.64	No	
4A	0.007904417	5.151427	20451253	21182716	20223624	0.243248	0.069558	Ficedula	FicHypAll	FicHyp	155524.64	No	
5	0.004403737	2.336388	59626954	64724594	61694345	0.330369	0.12092	Ficedula	FicHypAll	FicHyp	155524.64	No	
6	0.005472718	3.338395	36514087	37227452	35613976	0.327111	0.10083	Ficedula	FicHypAll	FicHyp	155524.64	No	
7	0.005517095	3.357229	39246143	39412007	38569009	0.288665	0.098915	Ficedula	FicHypAll	FicHyp	155524.64	No	
8	0.007441223	4.450898	31775369	32100816	30597724	0.336373	0.110389	Ficedula	FicHypAll	FicHyp	155524.64	No	
9	0.005318782	3.306046	25648982	26793321	25794245	0.155488	0.094444	Ficedula	FicHypAll	FicHyp	155524.64	No	
10	0.006711985	4.498846	20525061	21346708	20492001	0.284156	0.085937	Ficedula	FicHypAll	FicHyp	155524.64	No	
11	0.006358335	3.694092	20924582	21727166	20820935	0.12194	0.098262	Ficedula	FicHypAll	FicHyp	155524.64	No	
12	0.007628523	4.377755	21037236	21938106	20957467	0.099825	0.072627	Ficedula	FicHypAll	FicHyp	155524.64	No	
13	0.00796059	4.223173	19315571	18641552	17755544	0.11422	0.06725	Ficedula	FicHypAll	FicHyp	155524.64	No	
14	0.009030785	5.010265	16611975	17374186	16464737	0.3137	0.088551	Ficedula	FicHypAll	FicHyp	155524.64	No	
15	0.013582697	8.445695	14276578	14943019	14141293	0.107876	0.084157	Ficedula	FicHypAll	FicHyp	155524.64	No	
17	0.010983337	5.843687	10972141	12378331	11265327	0.138212	0.104704	Ficedula	FicHypAll	FicHyp	155524.64	No	
18	0.010723257	5.453749	12580095	13163162	11916102	0.323346	0.088223	Ficedula	FicHypAll	FicHyp	155524.64	No	
19	0.0117709	6.527249	11197607	11933672	10999405	0.114815	0.066149	Ficedula	FicHypAll	FicHyp	155524.64	No	
20	0.010401965	5.843016	15059066	15675940	15012468	0.292499	0.098728	Ficedula	FicHypAll	FicHyp	155524.64	No	
21	0.009352103	5.421236	6847934	8073070	7075184	0.109497	0.076639	Ficedula	FicHypAll	FicHyp	155524.64	No	
22	0.018651533	9.73451	4876366	5733621	4289794	0.070155	0.080638	Ficedula	FicHypAll	FicHyp	155524.64	No	
23	0.015108233	11.534342	7530976	7944683	6815602	0.296745	0.074242	Ficedula	FicHypAll	FicHyp	155524.64	No	
24	0.017591733	9.597122	6833524	8009359	7240039	0.108736	0.08479	Ficedula	FicHypAll	FicHyp	155524.64	No	
26	0.015473967	6.923677	6657878	7653694	6301098	0.092129	0.068809	Ficedula	FicHypAll	FicHyp	155524.64	No	
27	0.01123182	5.517907	4857840	5572044	4685442	0.07474	0.053588	Ficedula	FicHypAll	FicHyp	155524.64	No	
28	0.015964583	8.610583	5284033	6182350	5221503	0.097922	0.058915	Ficedula	FicHypAll	FicHyp	155524.64	No	
1	0.004657267	2.738938	117954051	120002344	116424203	0.21209	0.148115	Ficedula	FicHypSpa	FicHyp	155552.64	No	
1A	0.004220837	2.693167	73732264	74947036	72685834	0.226209	0.151466	Ficedula	FicHypSpa	FicHyp	155552.64	No	
2	0.004400537	2.813486	154331614	157563209	153125909	0.208854	0.161669	Ficedula	FicHypSpa	FicHyp	155552.64	No	
3	0.004693155	2.719641	114561924	115844353	112793376	0.234198	0.169421	Ficedula	FicHypSpa	FicHyp	155552.64	No	
4	0.004152717	2.459158	72976050	70439523	70015997	0.248339	0.17157	Ficedula	FicHypSpa	FicHyp	155552.64	No	
4A	0.007904417	5.151427	20451253	21182716	20223624	0.18606	0.12207	Ficedula	FicHypSpa	FicHyp	155552.64	No	
5	0.004403737	2.336388	59626954	64724594	61694345	0.256954	0.170479	Ficedula	FicHypSpa	FicHyp	155552.64	No	
6	0.005472718	3.338395	36514087	37227452	35613976	0.195886	0.098069	Ficedula	FicHypSpa	FicHyp	155552.64	No	
7	0.005517095	3.357229	39246143	39412007	38569009	0.21614	0.146605	Ficedula	FicHypSpa	FicHyp	155552.64	No	
8	0.007441223	4.450898	31775369	32100816	30597724	0.21949	0.14888	Ficedula	FicHypSpa	FicHyp	155552.64	No	
9	0.005318782	3.306046	25648982	26793321	25794245	0.231208	0.170794	Ficedula	FicHypSpa	FicHyp	155552.64	No	
10	0.006711985	4.498846	20525061	21346708	20492001	0.233052	0.154461	Ficedula	FicHypSpa	FicHyp	155552.64	No	
11	0.006358335	3.694092	20924582	21727166	20820935	0.25548	0.205936	Ficedula	FicHypSpa	FicHyp	155552.64	No	
12	0.007628523	4.377755	21037236	21938106	20957467	0.171014	0.12133	Ficedula	FicHypSpa	FicHyp	155552.64	No	
13	0.00796059	4.223173	19315571	18641552	17755544	0.238627	0.121558	Ficedula	FicHypSpa	FicHyp	155552.64	No	
14	0.009030785	5.010265	16611975	17374186	16464737	0.178848	0.106591	Ficedula	FicHypSpa	FicHyp	155552.64	No	
15	0.013582697	8.445695	14276578	14943019	14141293	0.187411	0.141595	Ficedula	FicHypSpa	FicHyp	155552.64	No	
17	0.010983337	5.843687	10972141	12378331	11265327	0.224923	0.164972	Ficedula	FicHypSpa	FicHyp	155552.64	No	
18	0.010723257	5.453749	12580095	13163162	11916102	0.217274	0.170569	Ficedula	FicHypSpa	FicHyp	155552.64	No	
19	0.0117709	6.527249	11197607	11933672	10999405	0.230009	0.143985	Ficedula	FicHypSpa	FicHyp	155552.64	No	
20	0.010401965	5.843016	15059066	15675940	15012468	0.215901	0.171569	Ficedula	FicHypSpa	FicHyp	155552.64	No	
21	0.009352103	5.421236	6847934	8073070	7075184	0.278372	0.190885	Ficedula	FicHypSpa	FicHyp	155552.64	No	
22	0.018651533	9.73451	4876366	5733621	4289794	0.130477	0.145438	Ficedula	FicHypSpa	FicHyp	155552.64	No	
23	0.015108233	11.534342	7530976	7944683	6815602	0.186815	0.128327	Ficedula	FicHypSpa	FicHyp	155552.64	No	
24	0.017591733	9.597122	6833524	8009359	7240039	0.179411	0.10938	Ficedula	FicHypSpa	FicHyp	155552.64	No	
26	0.015473967	6.923677	6657878	7653694	6301098	0.182911	0.089239	Ficedula	FicHypSpa	FicHyp	155552.64	No	
27	0.01123182	5.517907	4857840	5572044	4685442	0.257563	0.099082	Ficedula	FicHypSpa	FicHyp	155552.64	No	
28	0.015964583	8.610583	5284033	6182350	5221503	0.19496	0.110334	Ficedula	FicHypSpa	FicHyp	155552.64	No	
